,cX,cY,topoSig
45,11,20,0000000000011100000000000000000000000000000100000000000111111000000000000000001111111111000000000000000000111100000000000110000000000000000000011111000000000000000001111111100000000000000000011111110000000000011111111100
46,13,20,11111100000000000000000000000001111111100000000000001111111111111000000000000000001111111100000000000000111111111110000000000000001111111011111000000000000000000000011110000000000000011000000000000000000000001100000000000000000000000011111111110000000000000000
47,15,18,000000000000000110000000011111000000000000000111111110111111000000000000000000000011111110000000000000000111010000000000000000000000000000000111111110000000000000000111111111110000000000000000000100000000000000000000000000000111111111111100000000000000000000000000000111
48,15,18,111111111110000000000000000000110000000011111000000000000000111111110111111000000000000000000000011111110000000000000000111010000000000000000000000000000000111111110000000000000000111111111111000000000000000000100000000000000000000000000000111111111111100000000000000000
49,10,18,000000000011111111000000000000001111111100000000001000011111000000000000011111110000000000111111100000000000000000000001000000000011111111110000000000000011111100000000001111110000
50,11,18,111100011110000000000011111111100000000000000011111111100000000000100000111110000000000000011111111000000000001111111100000000000000000000000010000000000011111111111000000000000000011111100000000000
51,10,18,000000000000000011110000000000111111110000000000001111000000000000000000000000010000000000000001111100000000001000000000000000000011100000000000000000001111111100000000000000000111
52,9,18,111111111000000000000000111000000000111111100000000000111100000000000000000000001000000000000001111000000000100000000000000000111000000000000000001111111000000000
53,15,20,000000000000000111111110000000000000000000000111111111100011000000000000000111111111000001000000000000000111001111111111000000000000000111111100000111000000000000000011111111111111000000000000000000000000001111000000000000000000011111111111000000000000000001111111111111000000000000000111111000000000
54,14,19,00000000000000111111100000000000000000000011111111100011000000000000001111111100000100000000000000111001111111110000000000000011111100000111000000000000000111111111111100000000000000000000000011110000000000000000001111111111000000000000000011111111111100000000000000
55,12,19,000000000000000001111111000000000000111111111111000000000000000011111110000000000000111111111100000000000000111111011111000000000000000000001111000000000000011000000000000000000000110000000000000000000000111111111000000000000000
56,17,19,00000000000000000111000111111111100000000000000000000111111100001111000000000000000001111111111111111100000000000000000111111111111111110000000000000000011111111000011111000000000000000001111100000000001100000000000000000000011111100001110000000000000000001111111111111111000000000000000001111111000011111100000000000000000
57,10,20,00000000001110000000000000000000000001110000000000000011111100000000001111111111000000000000000011110000000000000001111100000000001100000000000000000010000000110000000000111111111100000000000000000001
58,10,20,11111111100000000000111000000000000000000000000111000000000000001111110000000000111111111100000000000000001111000000000000000111110000000000110000000000000000001000000011000000000011111111110000000000
59,16,20,00000000000000000000011110000000000000000000000011100000000000000000000000000000111111111111111100000000000000001111000000000000000000000000000011111100000000010000000000000000111111111111101100000000000000000000000000001111000000000000000011111110110000000000000000000000110000000001111100000000000000000111111111111111
60,16,20,00000111111111110000000000000000000011111000000000000000000000001100000000000000000000000000000011111111111111110000000000000000111000000000000000000000000000001111110000000001000000000000000011111111111110110000000000000000000000000000111100000000000000001111111011000000000000000000000010000000000111110000000000000000
61,12,16,000000000000000001111111000000000000000000001111000000000000101111111000000000000000000011100000000000000000111111000000000000000000111111111111000000000000000111111101000000000000111111111111
62,13,16,1111000000000000000000000000000011111110000000000000000000000111100000000000001011111111000000000000000000000111000000000000000000111111100000000000000000001111111111111000000000000000011111111010000000000000
63,13,16,0000000000000111100000000100000000000001111110001111000000000000011111000001110000000000000001111111110000000000000001110000011111000000000000011111111111110000000000000000000011111100000000000000111111111111
64,12,15,000000000000111000000001000000000000111110001111000000000000111100000111000000000000011111111100000000000000110000011111000000000000111111111111000000000000000000111111000000000000
65,17,20,0000000000000000000000001111111111000000000000000000011111111111100000000000000000000100000000000000000000000000000000011111111111111100000000000000000001111100000111111100000000000000000000111111111111100000000000000000000000011111000000000000000000000000000111100000111100000000000000000000000000111111110000000000000000000000000000011111
66,10,15,000000000011100000000000000000000000111100000000000011111100000000000011110000010000000000111111100000000000000111111111000000000000000111110000000000
67,12,18,000000000000111111111111000000000000000111111111000000000000011111111111000000000000111111000111000000000000000000000001000000000000001111111100000000000000000001111111000000000000000000001111000000000000000011100000
68,14,18,000000000000001100000000000100000000000000000000111111110000000000000000000111111111000000000000001111000111111100000000000000111000000001110000000000000000000000011111000000000000000111111111000000000000000000000000001111110000000000000000000000000011
69,14,18,100000000000000000000000000011100000000001000000000000000000000111111100000000000000000000111111110000000000000011111000111111000000000000001111000000001100000000000000000000000011110000000000000000111111111000000000000000000000000001111100000000000000
