,cX,cY,topoSig
831,11,18,000000000001111111111100000000000110000000000000000000011111111111000000000001111000111100000000000000111000000000000000001111111100000000000001111100000000000000000000000001110000000000000000000001
832,11,18,001111111110000000000000000011111000000000001111111100000000000000011111111000000000000011111000000000000000000000000000100000000000111100000000000000000000011111111000000000000000000111100000000000
833,13,20,00000000000001111111110000000000000000011100000000000000000000000100000000000000000000000001111000000001000000000000000000011111110000000000000111111111100000000000000001111100111111000000000000000000000111110000000000000111111111110000000000000000011111111111
834,13,20,11111000000000000000000000111111111000000000000000001100000000000000000000000010000000000000000000000000111000000000100000000000000000001111111000000000000011111111110000000000000000111100011111100000000000000000000011111000000000000011111111111000000000000000
835,9,14,000000000000011111000000000001111111000000000111001111000000000111111000000000000111111110000000000100000000000000000111111100
836,9,14,000000111000000000000011111000000000001111111000000000111001111000000000111111100000000000111111110000000000100000000000000000
837,16,20,00000000000000001111001111111111000000000000000010000000000000000000000000000000000001111110010000000000000000000000000001110000000000000000000000000001111111100000000000000000000000001111111100000000000000001111111111111111000000000000000000011111111111110000000000000000111111111100000000000000000000001100000000000000
838,16,20,11111100000000000000000000000000111001111111111100000000000000001000000000000000000000000000000000001111111001000000000000000000000000000111000000000000000000000000000111111110000000000000000000000000111111110000000000000000111111111111111100000000000000000011111111111111000000000000000011111111110000000000000000000000
839,19,19,0000000000000000000111111111111111110000000000000000000000000000000001111111000000000000000000011111001000001111110000000000000000000000111000000000000000000000000000000000111111110000011111000000000000000000000111111110000000000000000000000000000111111111111111000000000000000000000001111111111111111000000000000000000000011110000000111111100000000000000000000
840,19,19,0000000000000000000111111111111111110000000000000000000000000000000001111111000000000000000000011111001000001111110000000000000000000000111000000000000000000000000000000000111111110000011111000000000000000000000111111110000000000000000000000000000111111111111111000000000000000000000001111111111111111000000000000000000000011110000000111111100000000000000000000
841,12,16,000000000000000000000001000000000000000000000011000000000000000000000111000000000000111111100000000000000000111111000000000000000000011111111111000000000000110011110000000000000000111001111111
842,12,18,000000000010000000000000111111111111000000000000110000000000000000000000111111111111000000000000111100011111000000000000000111000000000000000000011111111000000000000000111110000000000000000000000000001111000000000000
843,15,20,000000000000000111111110011111000000000000000001111111111100000000000000000000000111111111000000000000000111111111000000000000000000000111111100000000000000000000000000111111110000000000000000000000000000000001000000000000000000001111111111000000000000000111111111111000000000000000000011100000000000
844,14,20,1000000000000000000000000000111111100111110000000000000000111111111100000000000000000000011111111100000000000000111111110000000000000000000011111100000000000000000000000001111111000000000000000000000000000000010000000000000000001111111111000000000000001111111111100000000000000000
845,9,14,000000000111100000000000000000000111000000000000111111000000000011111111000000000110001111000000000111111100000000000111111110
846,9,14,000000011000000000111100000000000000000000111000000000000111111000000000011111111000000000110001111000000000111111110000000000
847,12,16,000000000000000000000001000000000000011100000111000000000000000001111111000000000000111111011111000000000000111111110011000000000000111111111111000000000000110000000000000000000000111000000000
848,12,16,001111111111000000000000000000000001000000000000011100000111000000000000000001111111000000000000111111011111000000000000111111110011000000000000111111111111000000000000111000000000000000000000
849,18,20,000000000000000000000000001100000111000000000000000000000000000111111111000000000000000000111111111111110000000000000000000000100000000000111111000000000000000000111111110001111100000000000000000000111110011111111110000000000000000000110000000000000000000000000000000000000000111111100000000000000000000000111100000000000000000000000000000000111000000000000000
850,13,16,1111111111000000000000000011100000000000000000000000111110000111000000000000001111110000000000000000000011111110111110000000000000011111111110000000000000001111000000000000000000000000111111111110000000000000
851,13,16,0000000000000001001111111000000000000000000000000111000000000000001111111111000000000000000111100000000000000000000001111110111111000000000000011111111110000000000000000000000001111100000000000000000000001111
852,13,16,1111111000000000000000000000100111111100000000000000000000000011100000000000000111111111100000000000000011110000000000000000000000111111001111100000000000001111111111000000000000000000000000011110000000000000
853,10,18,000000000001111111110000000000110000000000000000000000001111000000000000000000110000000000111110000000000000000000111111000000000011111111100000000000000000011100000000001110000000
854,10,18,000111111100000000000111111111000000000011000000000000000000000000111100000000000000000011000000000011111000000000000000000011111100000000001111111110000000000000000001110000000000
855,13,18,000000000000011000000000000000000000000000000001111100000000000001000000000001000000000000000000111111110000000000000111111100110000000000000001110000000000000000000000000001111111110000000000000111111111100000000000000000000001111111
856,13,18,000000111111100000000000001100000000000000000000000000000000111110000000000000100000000000100000000000000000011111111000000000000011111110011000000000000000111000000000000000000000000000111111111000000000000011111111110000000000000000
857,9,13,000000000000000010000000000001111000000000000100000000000000000000001111000000000000111111000000000000011111000000000
858,10,14,11111000000000000000000000001000000000000011111000000000000010000000000000000000000000111100000000000001111111000000000000001111110000000000
859,13,16,0000000000000111000000000000000000000001111100001100000000000000011111100000000000000000000111111101111100000000000000111111111000000000000000011110000000000000000000000001111111111100000000000000000000000001
860,14,19,00000000000000111111111111110000000000000001111000001111000000000000000011111000000000000000000000111100000001110000000000000011100000111111000000000000000000000001111100000000000000000000000000010000000000000000000000000011000000000000001111110000000000000000000000
861,10,16,0000000000000000011000000000000000000011000000000001100000000000000000111111000000000000001100000000000000000011111000000000000000000000000100000000000000111111
862,10,16,1100000000000000000000000001100000000000000000001100000000000111000000000000000011111100000000000000111000000000000000001111100000000000000000000000010000000000
863,10,14,00000000001000000000000000000011111111000000000000000000011100000000000000111110000000000000000111110000000000001000000000000000001111110000
864,10,14,11111100000000000000100000000000000000001111111100000000000000000001110000000000000011111000000000000000011111000000000000100000000000000000
865,14,16,00000000000000111111111111110000000000000000001111111111000000000000000011111000000000000000000000000001110111100000000000000010000000000111000000000000001111110000000000000000000000000111111111110000000000000011111111110011
866,13,16,0011111111111000000000000011111111111110000000000000000001111111100000000000000001111100000000000000000000000011101100000000000000100000000001100000000000001111111000000000000000000000001111111110000000000000
867,13,18,000000000000000000000111110000000000000111100000110000000000000001111111111000000000000000000111111111110000000000000000000111111100000000000001111100000001000000000000011100000000000000000000000100000011111100000000000001111111111110
868,15,20,000000000000000111111111111111000000000000000011000111111111000000000000000110000000000000000000000000000111111111000000000000000000000111110000000001000000000000000000011111100111000000000000000000000000111111000000000000000111111111110011000000000000000000000001111111000000000000000111100011111111
869,13,14,00000000000001111110000000000000000000000111111001110000000000000000110000001000000000000000000111111111000000000000000000001111110000000000000100000000000000000000000000000000001111
870,9,14,111000000000000000111110000000000000000000001000000000000011111000000000011111000000000000000000011000000000001111111000000000
871,10,16,0000000000000000000100000000001100000000000000000000011111110000000000111111000000000000001111100000000000000011110001110000000000111111110000000000000111111111
872,10,16,0000111111000000000000000000010000000000100000000000000000000011111111000000000011111100000000000000111110000000000000001110000111000000000011111111000000000000
873,9,19,000000000110000000000000000000111111000000000111111111000000000111111001000000000000011111000000000100000000000000000000000011000000000000000111000000000000001111000000000
874,9,19,000000000110000000000000000000111111000000000111111111000000000111111001000000000000011111000000000100000000000000000000000011000000000000000111000000000000001111000000000
875,15,20,000000000000000000001111111111000000000000000111111111111111000000000000000111111100000000000000000000000001111111111111000000000000000111111001110000000000000000000000000000000011000000000000000011111111100000000000000000000111100000011110000000000000000111000000000000000000000000000000000000111000
876,14,20,0000000000001100000000000000000001111111110000000000000011111111111111000000000000001111111000000000000000000000001111111111110000000000000011111100110000000000000000000000000000011100000000000000011111111000000000000000000011110000011110000000000000001110000000000000000000000000
877,7,10,0000000111111100000000011110000000000000110000000011000000000001111001
878,7,10,1000000000000011111110000000000111000000000000011000000000110000000000
879,13,18,000000000000011111110011110000000000000001110000000000000000000000000000001111000000000000000000011111110000000000000111111111110100000000000000000111111111000000000000000011111000000000000000000011111111100000000000000001111111111111
880,13,14,11110000000000000000000000111111100000000000000000000011111110111000000000000000011100000100000000000000000001111111100000000000000000000011111000000000000010000000000000000000000000
881,13,16,0000000000000000000000011100000000000000000000000011000000000000011100000011110000000000000000000001111000000000000000011111000000000000000000011111000000000000000000000011100000000000000000000000000001111111
882,12,15,000000000000000000000111000000000000000000000011000000000000111000001111000000000000000000011110000000000000001111000000000000000000111110000000000000000000011100000000000000000000
883,13,20,00000000000001111111100011000000000000000000111111110000000000000000000000001100000000000001111111111111000000000000011111101111110000000000000000011111000000000000000001110000000000000000000000000111111111110000000000000111111111100100000000000001000000000000
884,14,20,0111110000000000000000000000111111111000110000000000000000000111111111000000000000000000000000001100000000000000111111111111110000000000000011111110111111000000000000000000111111000000000000000000111000000000000000000000000000111111111111000000000000001111111111100100000000000000
885,8,16,00000000111000000000000011111111000000001100000000000000100000000000000011111000000000001111111000000000111111110000000000001100
886,6,15,000000111000000000111111000000110000000000100000000000111100000000111110000000111111000000
887,14,20,0000000000000011111111111111000000000000000111100000111100000000000000001111100000000000000000000011110000000111000000000000001110000011111100000000000000000000000111110000000000000000000000000001000000000000000000000000001100000000000000111111000000000000000000000011111111111111
888,16,20,11111111100000000000000000000000000011111110000000000000000000001110000000001111000000000000000000000110000000000000000000000000001111111111111100000000000000000000001111000000000000000000000011111111000000000000000000000000000000000000011100000000000000000000000000000011000000000000000001111111111111100000000000000000
889,11,18,000000000000111110000000000000000111111111110000000000011110000000000000000001111111111000000000000000001110000000000000011111111100000000000000000000111100000000000110000000000000000000011100000000
890,11,18,100000000000000000000000111100000000000000001111111111100000000000111100000000000000000011111111110000000000000000011100000000000000111111111000000000000000000001111000000000001110000000000000000000
891,12,20,000000000000000000001111000000000000100111111111000000000000000000000111000000000000000111111111000000000000111111100000000000000000111110111111000000000000111111111110000000000000110000000000000000000000111100000000000000000000111111111100
892,12,20,111111111000000000000000000000001111000000000000100111111111000000000000000000000011000000000000000111111111000000000000111111100000000000000000111110111111000000000000111111111110000000000000110000000000000000000000111100000000000000000000
893,14,18,000000000000001011111111100000000000000000000111111111110000000000000000000000000011000000000000001111111111100000000000000000111111001111110000000000000000000111110000000000000000000000000000000100000000000000000000011111110000000000000000001111100000
894,14,18,000111111111000000000000000010111111110000000000000000000000111111111100000000000000000000000001110000000000000011111111110000000000000000001111110011111100000000000000000001111000000000000000000000000000000001000000000000000000000111111100000000000000
895,13,20,00000000000000000000000011000000000000000111111111110000000000000100000000000100000000000000000000000011000000000000011111101110000000000000000000001111111100000000000000000111111111000000000000011100000000000000000000000111111111000000000000000000000000011111
896,12,20,111111111111000000000000000000000011000000000000001111111111000000000000100000000001000000000000000000000011000000000000111111011000000000000000000001111111000000000000000011111111000000000000111000000000000000000000111111110000000000000000
897,16,20,00000000000000000000111111000000000000000000000011100000000111110000000000000000000001100000000000000000000000000011111111111111000000000000000000000011100000000000000000000000111111110000000000000000000000000000000000001111000000000000000000000000000001110000000000000000011111111111110000000000000000000000000000000001
898,14,18,111111111110000000000000000011111000000000000000000000001111110000000000000000000000000000000000010000000000000011111111111111000000000000001111111000000000000000000000111100000000000000000000000011011111101100000000000000001000000011111100000000000000
899,18,20,000000000000000000001111110000001111000000000000000000100000000111111100000000000000000000000110000000000000000000000000000000111111111111111110000000000000000000000011100000000000000000000000000000111111000000000000000000000000000000000000000011111000000000000000000000000000000001111111000000000000000000111111111111000000000000000000000000000000000000011111
900,18,20,111111100000000000000000000000000000001111111000001111000000000000000000100000000011111100000000000000000000000110000000000000000000000000000000111111111111111110000000000000000000000011110000000000000000000000000000111111000000000000000000000000000000000000000001111000000000000000000000000000000000111111000000000000000000111111111111100000000000000000000000
901,13,18,000000000000011111111111000000000000000000000000011100000000000001111111100000000000000000011110111100000000000000000111111100000000000000000001011111111111000000000000000011111111110000000000000111111111111000000000000000000001111111
902,15,18,110011111111110000000000000000111111111111000000000000000000000000000001111000000000000000111111111000000000000000000000111111011100000000000000000000111111110000000000000000000000100111111111111000000000000000000001111111111000000000000000111111111111100000000000000000
903,13,18,000000000000011111111110000000000000000000000000111100000000000001111111000000000000000000011101111000000000000000000111111000000000000000000000111111111111000000000000000111111111110000000000000111111111110000000000000000000011111110
904,13,18,001111111111000000000000001111111111000000000000000000000000011110000000000000111111100000000000000000001111011100000000000000000011111100000000000000000000011111111111100000000000000001111111111000000000000011111111111000000000000000
905,16,20,00000000000000000111111111100000000000000000000011111101111110000000000000000000111111111100000000000000000000001100111111111111000000000000000000000111111111110000000000000000111111111111111000000000000000000000000001111111000000000000000011111111000000000000000000000000000000000000110000000000000000001110001111111111
906,16,20,00000000000001110000000000000000011111111100000000000000000000001111101111110000000000000000000011111111100000000000000000000000110111111111111100000000000000000000111111111111000000000000000011111111111111100000000000000000000000001111111100000000000000001111111000000000000000000000000000000000000111000000000000000000
907,13,18,000000000000000000001111110000000000000000000000011100000000000001111111111111000000000000011110000000010000000000000100000000000000000000000001111110000000000000000000000000111111000000000000000110000001111100000000000000001111110000
908,14,18,000001111111110000000000000011111111001111000000000000000011110000000000000000000000000000000011110000000000000000000001111111000000000000001111111111110100000000000000000011111111110000000000000000011111100000000000000000000111111111100000000000000000
909,12,18,000000000000111110000011000000000000111111111110000000000000111000000000000000000000111111111000000000000000000011100000000000000000111111110000000000000000000000111111000000000000100000000000000000000000110000000000
910,11,17,0000000000011110000011000000000001111111111000000000000110000000000000000000011111111000000000000000001110000000000000000111111100000000000000000000111111000000000001000000000000000000000
911,10,18,000000000011110000000000000000111111111100000000000011111111000000000000000001110000000000000001111100000000001111111110000000000000011111110000000000111111110000000000000111110000
912,8,17,0000000011100000000000001111111100000000011111110000000000000111000000000000111100000000111111100000000000111111000000001111110000000000
913,14,20,0000000000000000000000011111000000000000001111110000000000000000000000111110000000110000000000000000111111110111000000000000001111111000000000000000000000111100000000000000000000000000000000000001000000000000001111111100000000000000000000111000000000000000000000000010000000000000
914,14,20,0000000000001100000000000000000000001111110000000000000011111000000000000000000000001111000000011100000000000000011111111011110000000000000011111100000000000000000000001110000000000000000000000000000000000000010000000000000011111110000000000000000000001100000000000000000000000000
915,13,18,000000000000000000000111100000000000000111111111000000000000000001111111111111000000000000010000001111110000000000000000011111111100000000000001111110000011000000000000011000000000000000000000000111110000011100000000000001110000000000
916,16,18,001111111101000000000000000000000000000011111110000000000000000011111111100000000000000000000000111111111111111100000000000000001000000111111111000000000000000000001111111111110000000000000000111111000000001100000000000000001110000000000000000000000000000011111000000001110000000000000000
917,10,15,000000000011000000000000000000000000000100000000001111110000000000000011100000000000000000011100000000000000000000000011000000000000000110000000000000
918,11,17,0000000000000000011111000000000000000000011100000000000111111111110000000000011100000001000000000001000000000000000000000111110000000000000000000001111100000000000001100000111100000000000
919,13,20,00000000000001111111000000000000000000000000000000110000000000000000011111111100000000000001111111101111000000000000000000111110000000000000000111111111111100000000000000000001111111000000000000000000111111100000000000000101000000000000000000000001111111111111
920,13,19,0000000000000111111100000000000000000000000000000011000000000000000001111111110000000000000111111110111100000000000000000011111000000000000000011111111111110000000000000000000111111100000000000000000011111110000000000000010100000000000000000000000
921,16,20,00000000000000001111100000000000000000000000000000000000011111110000000000000000001111111111111100000000000000001111110111111110000000000000000000011111000000000000000000000000111111111111100000000000000000000000111111111111000000000000000000011111110111110000000000000000100000000000000000000000000000001111111111110011
922,15,20,000000000000111000000000000000111110000000000000000000000000000000000111111000000000000000001111111111111000000000000000111111011111110000000000000000000111110000000000000000000000111111111111100000000000000000000011111111111000000000000000000111111101111000000000000000100000000000000000000000000000
923,12,20,000000000000111111110000000000000000000001111111000000000000001111111110000000000000100000000000000000000000000000011111000000000000000000000111000000000000000011111100000000000000111111111111000000000000000000111111000000000000000111111111
924,13,20,11000000011110000000000000111111110000000000000000000000011111111000000000000000011111111100000000000000100000000000000000000000000000000111111000000000000000000000001110000000000000000011111110000000000000001111111111111000000000000000000011111110000000000000
925,15,18,000000000000000111111000000000000000000000000111111100000000000000000000000000000000000001000000000000000111111111111111000000000000000111111110000000000000000000000111110000000000000000000000000110011111110100000000000000000100000000111111000000000000000000111111100000
926,12,18,000000001111000000000000000000000111000000000000000111111111000000000000111111100011000000000000110000000000000000000000000000111111000000000000111111111110000000000000100001111111000000000000000011111111000000000000
927,16,18,000000000000000000011111100000000000000000000000001111111111111100000000000000000000111100000111000000000000000011111110000111110000000000000000111110000011111100000000000000001111111111111100000000000000000001111111111100000000000000000000111111000000000000000000000000001111111111111110
928,16,18,000000000001111100000000000000000001111110000000000000000000000000111111111111110000000000000000000011110000001100000000000000001111111000001111000000000000000011111000001111110000000000000000111111111111111000000000000000000111111111111000000000000000000011111100000000000000000000000000
929,11,18,000000000001111000000000000000000111111111110000000000011100000111000000000001100001111100000000000000001111110000000000011111111100000000000001111111000000000000000100000000000000000000011111111110
930,11,18,000000111110000000000011110000000000000000001111111111100000000000111000000110000000000011000001111000000000000000011111100000000000111111111100000000000011111111000000000000001000000000000000000000
931,17,20,0000000000000000010000000000000000000000000000000000001111100000000000000000000000000111110000000000000000000000000000000000011111111111000000000000000000011000000111111100000000000000000000000000000001110000000000000000000000001111100000000000000000000001111111111100000100000000000000000111111111111100110000000000000000000000000011111111
932,17,20,0111100000000000000000000000000000110000000000000000000000000000000000001111100000000000000000000000001111110000000000000000000000000000000000011111111110000000000000000000011000001111111000000000000000000000000000000011100000000000000000000000001111000000000000000000000011111111111000001000000000000000001111111111111001100000000000000000
933,11,16,00000000000111111101110000000000000111111111000000000000000001111100000000000111110000010000000000011111111111000000000001110000000000000000000100000000110000000000011110000000
934,10,16,1111111111000000000011111101110000000000001111111100000000000000011111000000000011110000010000000000111111111100000000001110000000000000000010000000110000000000
935,11,18,000000000000000000011100000000000000111111110000000000011111110011000000000001100000000000000000000000000111110000000000011111111110000000000001000011111100000000000000011111110000000000011111100000
936,12,16,111111110000000000000000000111111100000000000000110000011111000000000000000000111111000000000000000000000001000000000000100000000111000000000000111110000000000000000000000011111111000000000000
937,13,18,000000000000011000000000000000000000000111111011111100000000000000000000000111000000000000000000111111110000000000000000000001111000000000000001111000001111000000000000000000000000110000000000000111000000000000000000000000111111111111
938,13,18,000111111111100000000000001000000000000000000000000011111101111110000000000000000000000011100000000000000000011111111000000000000000000000111100000000000000111100000111100000000000000000000000011000000000000011000000000000000000000000
939,15,20,000000000000000111111111111111000000000000000001111111111110000000000000000000000011111111000000000000000111110000000111000000000000000111100000011111000000000000000111111001111111000000000000000011111111111111000000000000000111000000000000000000000000000111111111000000000000000000000111111111110011
940,13,19,0000000000000111111111111100000000000000011111111110000000000000000000001111110000000000000111110000001100000000000001111000000111000000000000011111100111110000000000000011111111111100000000000001110000000000000000000000011111111100000000000000000
941,14,18,000000000000001111111111110000000000000000111110000000010000000000000011111110000111000000000000000111111111111100000000000000111111110000000000000000000000111100000000000000000000001111111111000000000000000000111100000000000000000000000000011111100000
942,13,18,111111000000000000000000001111111111100000000000000011110000000010000000000000111111100011100000000000000111111111111000000000000011111111000000000000000000001110000000000000000000001111111110000000000000000011100000000000000000000000
943,12,16,000000000000000001111111000000000000000000000111000000000000111000000000000000000000000000001110000000000000000000111100000000000000111111100000000000000000110000000000000000000000011100000000
944,10,16,1111111111000000000000011111110000000000000000011100000000001100000000000000000000000011100000000000000011110000000000001111100000000000000010000000000000000000
945,12,16,000000000000011111111110000000000000000001111111000000000000000000000111000000000000000011100000000000000000001111000000000000000000111000000000000000000000000000001111000000000000000000000011
946,12,16,000000000000111011111111000000000000111111111000000000000000111111100001000000000000111111111111000000000000100000111111000000000000110000000011000000000000111111110000000000000000111110000000
947,10,17,00000000001100000011000000000011111110000000000000111110000000000000000111111111000000000000001111110000000000000000000100000000000001111111000000000000000011110000000000
948,13,18,000000000000000000000001110000000000000111111111110000000000000000000011111110000000000000010000001111110000000000000111111110000000000000000000001111111111000000000000011000011100000000000000000000011111111100000000000000000000111111
949,14,18,000111111111110000000000000000000000000111000000000000001111111111110000000000000000000000111111100000000000000010000000111111000000000000001111111110000000000000000000000011111111110000000000000011000001110000000000000000000000011111111100000000000000
950,12,16,000000000000111111000011000000000000100000000000000000000000111111100001000000000000111111111000000000000000110001111111000000000000000011110000000000000000111000000000000000000000111111111111
951,13,16,0000000000111000000000000011111100000110000000000000100000000000000000000000001111111000001000000000000011111111100000000000000000110001111111100000000000000000111100000000000000000011100000000000000000000000
952,13,20,00000000000000111111100001000000000000000000000000110000000000000111100000000000000000000001111111110000000000000000000000111111110000000000000111111111100000000000000000001111111111000000000000000000001111110000000000000000000111111100000000000001100000000000
953,14,20,1100000000011100000000000000011111110000010000000000000000000000000011000000000000001111000000000000000000000000111111111000000000000000000000000111111111000000000000001111111111000000000000000000000111111111110000000000000000000001111111000000000000000000001111111100000000000000
954,11,18,000000000001000000000000000000000111111111110000000000011111111001000000000000001110000000000000000111100000000000000000011111110000000000000001111111110000000000000111110000000000000000000111111111
955,11,18,111111111100000000000010000000000000000000001111111111100000000000111111100110000000000000111000000000000000001110000000000000000000111111000000000000000011111111000000000000001111000000000000000000
956,12,16,111111111100000000000000011111111110000000000000000001111111000000000000000000000111000000000000000011100000000000000000001111000000000000000000111000000000000000000000000000001111000000000000
957,11,16,00111111111000000000001110111111100000000000111111110000000000000011111100001000000000001111111111100000000000100001111110000000000011000000011000000000001111111000000000000000
958,13,19,0000000000000111111110000000000000000001100000000011000000000000000001111111110000000000000111110000111100000000000001111110000000000000000000000000001111110000000000000000000000000100000000000000001111111000000000000000010000000000000000000000000
959,15,20,111110011111111000000000000000111111111100000000000000000000110000000000011000000000000000000011111111111000000000000000111111000001111000000000000000111111110000000000000000000000000000000111111000000000000000000000000000001000000000000000000111111111000000000000000000100000000000000000000000000000
960,14,20,0000000000000011111111000000000000000000001110000000000000000000000000111111111111000000000000000011000001111111000000000000000000001111111100000000000000000011111111100000000000000000000000011111000000000000001000000000000000000000000000000000000001110000000000000011111000001111
961,13,20,11111111110000000000000000111111100000000000000000001110000000000000000000000011111111111000000000000000110000111111100000000000000000011111111000000000000000001111111100000000000000000000001111100000000000001000000000000000000000000000000000011110000000000000
962,14,18,000000000000000000000011111000000000000000111111111100000000000000000000000000000111000000000000001000000110000000000000000000110000000000000000000000000000000000000011000000000000001110111111111100000000000000111111111111110000000000000011111011111111
963,13,18,111110000000000000000000000000000111110000000000000011111111100000000000000000000000000011100000000000001000001100000000000000000011000000000000000000000000000000000001100000000000001110111111111000000000000011111111111110000000000000
964,12,16,000000000000000111111100000000000000110000011111000000000000000000111111000000000000000000000001000000000000100000000111000000000000111110000000000000000000000011111111000000000000000000001111
965,13,18,000000000000000000000011110000000000000111111111111100000000000001101111111111000000000000010000000111110000000000000000000011111100000000000000000000000011000000000000000000111111100000000000000000011111111100000000000000000001111000
966,13,20,11111111111110000000000000000000000111100000000000001111111100000000000000000000011111111110000000000000111111111111100000000000000111101111000000000000000000111111111100000000000000000011111111100000000000000000000000011000000000000000000001111110000000000000
967,12,19,000000000000000111100001000000000000000000001111000000000000000000000011000000000000000000000111000000000000000011111111000000000000011111111111000000000000111110000000000000000000001111111111000000000000111111000000000000000000
968,13,20,00001111100000000000000000000111100000100000000000000000000011111000000000000000000000000110000000000000000000000011100000000000000000111111111000000000000001111111111110000000000000111110000000000000000000000011111111111000000000000011111100000000000000000000
969,8,16,00000000011111110000000011111100000000001111100000000000111011110000000011100000000000001111111100000000111111100000000011000000
970,7,16,1111111000000001111110000000111110000000001111000000000011011110000000110000000000001111111000000011111100000000
971,15,20,000000000000000000000011111111000000000000000000011111111111000000000000000000001111110111000000000000000110000111111111000000000000000000000000111111000000000000000100000000000000000000000000000000000000000011000000000000000111111111111111000000000000000111111110000000000000000000000111000000011110
972,15,20,111101111111110000000000000000000000001111111000000000000000000111111111111000000000000000000000111110111000000000000000110000011111111000000000000000000000000011111000000000000000100000000000000000000000000000000000000000011000000000000000111111111111111000000000000000111111111000000000000000000000
973,11,16,00000000000001111111110000000000011111111110000000000001111111011100000000000111111000110000000000011110000000000000000001111100000000000000000011111111110000000000000011111111
974,12,16,000011111000000000000000001111111111000000000000111111111110000000000000111111101111000000000000111111000011000000000000111000000000000000000000111110000000000000000000011111111111000000000000
975,14,20,0000000000000000000000011111000000000000001111111100000000000000000000000111111111110000000000000011111111111111000000000000000111101111000000000000000000001111111111100000000000000000001111111111000000000000000000000000011100000000000000000000011111110000000000000011111111111100
976,11,18,111111111110000000000000000000111000000000001111111111100000000000110111111110000000000010000001111000000000000000001111100000000000000000000110000000000000000111110000000000000000111111100000000000
977,9,15,000000000100000000000000000111111000000000000110000000000000000111110001000000000111000000000000000111100000000000000000000011000000000
978,10,16,1111110000000000000010000000000000000000111111100000000000001100000000000000000011111000010000000000111000000000000000001111000000000000000000000000110000000000
979,11,20,0000000000000000011111000000000000000111111100000000000011111100000000000000011100000000000000000000000011111100000000000111111111000000000000011111111111000000000001111111111100000000000000000000010000000000011000000111
980,10,20,11100000000000000000000000111100000000000000111111000000000001111110000000000000110000000000000000000000011111000000000011111111000000000000111111111100000000001111111111000000000000000000010000000000
981,14,20,0000000000000011000000000000000000000000000111111111111100000000000000111110000111110000000000000000011111111111000000000000000000001111000000000000000000000011100000010000000000000000000000111111000000000000000000000000001100000000000000000000000001110000000000000000000011111111
982,15,20,000111111111111000000000000000110000000000000000000000000000011111111111111000000000000000111111000011111000000000000000000011111111111000000000000000000000011110000000000000000000000001110000001000000000000000000000000111111000000000000000000000000000011000000000000000000000000000111000000000000000
983,13,18,000000000000011111100000000000000000000111111111000000000000000001111111100000000000000000011111001111110000000000000111000000000000000000000001100111111110000000000000011111111110000000000000000111111111111100000000000001000000000011
984,6,14,001111000000000011000000111111000000111000000000111111000000000001000000100000000000
985,13,20,00000000000000000000000111000000000000000000000100000000000000000110000000000000000000000000000000000011000000000000011100111111110000000000000111111111111100000000000000000000000001000000000000011111101111110000000000000011111111111100000000000000000111111111
986,13,20,11111111100000000000000000000000000011100000000000000000000100000000000000000011000000000000000000000000000000000001100000000000001110111111111000000000000011111111111110000000000000000000000000100000000000001111101111111000000000000001111111111110000000000000
987,15,20,000000000000000000000111111111000000000000000111111111111000000000000000000000011111111111000000000000000000000000011111000000000000000000000001111111000000000000000100000000000000000000000000000001111100000000000000000000000000111111110001000000000000000000001111000000000000000000000111111111111100
988,15,20,111111111110000000000000000000000000111111111000000000000000111111111111100000000000000000000011111111111000000000000000000000000011111000000000000000000000001111111000000000000000100000000000000000000000000000001111100000000000000000000000000111111111001000000000000000000001111000000000000000000000
989,12,20,000000000000111000000000000000000000000000000001000000000000111111000011000000000000111111100000000000000000111100000000000000000000001111111111000000000000011111111000000000000000111111111111000000000000000001111111000000000000000000001111
990,13,20,00011100000000000000000000111100000000000000000000000000000000001000000000000011111111000110000000000000111111111000000000000000001111100000000000000000000000111111111110000000000000011111111100000000000000001111111111111000000000000000000001111110000000000000
991,15,20,000000000000000001111111111111000000000000000100001111111111000000000000000000000000011111000000000000000000111110000000000000000000000111111100000011000000000000000111111111001111000000000000000000011111111111000000000000000111111000000000000000000000000111111111111000000000000000000111111111111110
992,15,20,110000000000000000000000000000000111111111111000000000000000100000111111111000000000000000000000000001111000000000000000000011111000000000000000000000111111110000001000000000000000111111111100111000000000000000000001111111111000000000000000111111100000000000000000000000111111111111100000000000000000
993,7,14,00000000001111000000011111110000000110000000000001111111000000000000110000000100000000000001111001
994,12,18,000000000000110000000011000000000000111111110000000000000000111111000000000000000000011111111111000000000000000001111111000000000000000000000001000000000000000111111111000000000000000000011111000000000000111100000111
995,12,20,000000000000000000011111000000000000000000000111000000000000000000111111000000000000111111111101000000000000111011111111000000000000111111110000000000000000001111111111000000000000011111111111000000000000111111111111000000000000111110000000
996,13,20,00111111111100000000000000000000011111100000000000000000000001111000000000000000000011111110000000000000111111111101100000000000001111011111111000000000000011111111000000000000000000000111111111100000000000000111111111111000000000000011111111111110000000000000
997,16,20,00000000000000000111111111111100000000000000000011110000111111110000000000000000001111111111111000000000000000000000011110000000000000000000000000011100000011110000000000000000000000011111111100000000000000000000000000011111000000000000000000000000001111110000000000000000000001111111111100000000000000001111111111111000
